id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,Accelerator Duration (in weeks),Founders,LinkedIn,Number of Exits,Number of Investments,Number of Portfolio Organizations,Stage,Twitter
eca151b6-aef0-4772-8319-d55a5c0fc1c9,Abalena Capital Limited,company,wan.yuan@abalena.com,"Abalena Capital is an investment firm that invests in aviation, oil and gas, real estate, hospitality, sports, and media sectors.",wan.yuan@abalena.com,http://www.abalena.com/,http://www.abalena.com/,,,"Central, Hong Kong Island, Hong Kong","Central, Hong Kong Island, Hong Kong",Corporate Venture Arms,,M Dawood KHAN,https://www.linkedin.com/company/15205221/admin/,,1,1,"Debt,Private Equity,Venture",https://twitter.com/AbalenaCapital
407df908-6dd8-425b-9b07-d96621bfe192,Abbott Ventures,company,,Abbott Ventures is a subsidiary of Abbott dedicated to making venture capital investments in emerging medical technology companies.,,http://www.abbottventures.com,http://www.abbottventures.com,,,"Carthage, Illinois, United States","Carthage, Illinois, United States",Corporate Venture Arms,,Wallace C. Abbott,https://www.linkedin.com/company/abbott-,1,1,1,"Early Stage Venture,Late Stage Venture,Seed",
c5ec74c8-21a3-4cd6-be3b-1b52d210f548,ABB Technology Ventures,company,,ABB Technology Ventures (ATV) is the strategic venture capital unit of ABB (NYSE: ABB).,,https://new.abb.com/about/technology/ventures,https://new.abb.com/about/technology/ventures,,,"Zürich, Zurich, Switzerland","Zürich, Zurich, Switzerland",Corporate Venture Arms,,"Andrew Tang, Girish Nadkarni, Grant Allen, Kurt Kaltenegger",https://www.linkedin.com/showcase/abb-technology-ventures/,10,58,41,"Early Stage Venture,Late Stage Venture,Seed",
8c450140-8aca-4a27-851f-3e4310f0d2e6,AbbVie Biotech Ventures,company,customerservice@abbvie.com,"AbbVie Biotech Ventures, an Illinois-based company, makes investments in emerging biotech and pharmaceutical companies.",customerservice@abbvie.com,https://www.abbvie.com/partnerships/abbvie-ventures.html,https://www.abbvie.com/partnerships/abbvie-ventures.html,,,"North Chicago, Illinois, United States","North Chicago, Illinois, United States",Corporate Venture Arms,,"Jasmina Marjanovic, Margarita Chavez",https://www.linkedin.com/company/abbvie,11,49,35,,https://www.twitter.com/abbvie
7a3029af-5eee-41a1-b704-e27c16567961,ABN AMRO Fund,company,digital.impact.fund@nl.abanmro.com,"ABN AMRO's investment arm makes investments in early-, mid-, and late-stage companies around the world",digital.impact.fund@nl.abanmro.com,http://www.abnamro.nl,http://www.abnamro.nl,,,"Amsterdam, Noord-Holland, The Netherlands","Amsterdam, Noord-Holland, The Netherlands",Corporate Venture Arms,,Bernard-Louis Roques,https://www.linkedin.com/company/abnamro-etf,23,56,50,"Early Stage Venture,Late Stage Venture,Seed",
f86e91b1-a315-4a5d-839b-24941a06976c,ABN AMRO Ventures,company,abnamroventures@nl.abnamro.com,ABN AMRO Ventures is the corporate venture fund of ABN AMRO,abnamroventures@nl.abnamro.com,https://www.abnamro.com/en/about-abnamro/in-society/innovation/abnamro-ventures/index.html,https://www.abnamro.com/en/about-abnamro/in-society/innovation/abnamro-ventures/index.html,,,"Amsterdam, Noord-Holland, The Netherlands","Amsterdam, Noord-Holland, The Netherlands",Corporate Venture Arms,,,https://www.linkedin.com/showcase/abn-amro-ventures/,7,36,23,"Convertible Note,Early Stage Venture,Late Stage Venture",
e6d05c90-bd54-4d1a-971d-3861e28b2e07,AB Private Credit Investors,company,,AB Private Credit Investors is the middle market direct lending platform of AllianceBernstein.,,https://www.alliancebernstein.com/sites/alternatives/investments/us/private-credit-investors/home.htm,https://www.alliancebernstein.com/sites/alternatives/investments/us/private-credit-investors/home.htm,,,"Austin, Texas, United States","Austin, Texas, United States",Corporate Venture Arms,,,https://www.linkedin.com/company/ab-private-credit-investors-llc,1,6,5,Early Stage Venture,
e23d9d3a-1b2e-4f38-be29-81fb931146a9,Abu Dhabi Investment Authority,company,credit@eiosoftcapital.ae,"Abu Dhabi Investment Authority is investing funds for Government of Abu Dhabi,via its Appointed Legal Representative, Eiosoft Capital in PPP",credit@eiosoftcapital.ae,http://www.adia.ae,http://www.adia.ae,,,,,Corporate Venture Arms,,"H.H. Sheikh Mansour Bin Zayed Al Nahyan, HH Shaikh Mohamed Bin Zayed Al Nahdha Bin Sultan bin Zayed bin Khalifa bin Shakhbut bin Dhiyab bin Issa Al Nahyan Al Falahi, HH Shaikh Sultan Bin Zayed Al Nahyan, Sheikha Maryam Bint Al Nuaimi Al Qasimi",https://www.linkedin.com/company/adia,28,66,58,Secondary Market,
0293e937-aab6-425b-b29c-2974e4a02708,Abu Dhabi Investment Council,company,,Abu Dhabi Investment Council is an investment arm of the government of Abu Dhabi that focuses on wealth protection and investment strategy.,,www.linkedin.com/company/abu-dhabi-investment-council,www.linkedin.com/company/abu-dhabi-investment-council,,,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Abu Dhabi, Abu Dhabi, United Arab Emirates",Corporate Venture Arms,,,https://www.linkedin.com/company/abu-dhabi-investment-council/,1,1,1,,
bfac15ab-0942-4871-a9b6-a9fe62655782,AB Ventures LP,company,,"Arab Bank's corporate venture capital arm, founded in 2018, and specialized in early-stage FinTech investments, with a global mandate.",,https://abventures.vc,https://abventures.vc,,,"Amman, Amman, Jordan","Amman, Amman, Jordan",Corporate Venture Arms,,,https://www.linkedin.com/company/ab-ventures-lp/,,7,6,Early Stage Venture,
bba23dad-ba32-4e20-b07b-aec4f6ea4c5b,Acacia Digital,company,info@acaciadigital.io,"Acacia Digital Holdings (Acacia) is diversified blockchain platform that focuses on trading, mining, and early-stage investment",info@acaciadigital.io,https://acaciadigital.io/,https://acaciadigital.io/,,,"New Orleans, Louisiana, United States","New Orleans, Louisiana, United States",Corporate Venture Arms,,David Chase,https://www.linkedin.com/company/acacia-digital-holdings/,,1,1,,https://twitter.com/_acaciadigital
b9fa109d-5c02-44d4-b015-496d0e3631ed,Acario,company,makiko@acarioinnovation.com,"Energy, Climatetech, Cleantech",makiko@acarioinnovation.com,https://acarioinnovation.com/,https://acarioinnovation.com/,,,"Menlo Park, California, United States","Menlo Park, California, United States",Corporate Venture Arms,,,https://www.linkedin.com/company/acario/,1,1,1,"Early Stage Venture,Late Stage Venture,Seed",
d19fafba-54b5-4bda-94fd-710c672e4eac,Accelerasia Ventures,company,vincent@accelerasia.com,AccelerAsia Ventures makes seed and Series A investments in B2B technology startups.,vincent@accelerasia.com,https://www.accelerasia.com/aa-ventures/,https://www.accelerasia.com/aa-ventures/,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",Corporate Venture Arms,,"Arnout Mostert, Frank Bomers, Joeri Gianotten, Vincent Veehof",https://www.linkedin.com/company/accelerasia/,2,10,7,Early Stage Venture,
b58a480e-e9c3-4974-bcef-fde4bd813926,Accenture Ventures,company,,"Accenture Ventures is a venture capital firm arm of Accenture, delivers innovative solutions with strategic partnerships and investments.",,https://www.accenture.com/in-en/about/ventures-index,https://www.accenture.com/in-en/about/ventures-index,,,"San Francisco, California, United States","San Francisco, California, United States",Corporate Venture Arms,,Tom Patterson,https://www.linkedin.com/company/accenture,1,43,41,Early Stage Venture,
bb331b48-908b-4598-a304-624698475513,Access Biotechnology,company,,Access Biotechnology is an investment arm of Access Industries that focuses on private and public biopharma companies.,,http://accessbio-tech.com/,http://accessbio-tech.com/,,,"New York, New York, United States","New York, New York, United States",Corporate Venture Arms,,,https://www.linkedin.com/company/access-industries/,8,28,19,"Early Stage Venture,Late Stage Venture",
02c2457e-8bf8-46e8-8c83-3e8bed541e60,Access Industries,company,,Access Industries is a privately held industrial group with long-term holdings worldwide.,,http://www.accessindustries.com,http://www.accessindustries.com,,,"New York, New York, United States","New York, New York, United States",Corporate Venture Arms,,Len Blavatnik,https://www.linkedin.com/company/access-industries/,27,73,51,"Early Stage Venture,Late Stage Venture,Private Equity",
95a6d45c-2e8d-4d2c-91e3-6c955f10e2e9,AccuraCast,company,sales@accuracast.com,"AccuraCast is a digital marketing agency based in London, UK.",sales@accuracast.com,https://www.accuracast.com,https://www.accuracast.com,,,"London, England, United Kingdom","London, England, United Kingdom",Corporate Venture Arms,,Farhad Divecha,https://www.linkedin.com/company/accuracast,,1,1,,https://twitter.com/accuracast
b6582bac-b6ca-49a3-a259-69ee7e2c278d,Acestream Utility,company,info@windbreakmedia.com,A new kind of venture company,info@windbreakmedia.com,,,,,,,Corporate Venture Arms,,Ty Accornero,,,1,1,"Early Stage Venture,Late Stage Venture,Venture",
b1dc5b66-be6a-469e-80ef-ee6820132dc4,Achmea Innovation Fund,company,achmeainnovationfund@achmea.nl,"Achmea Innovation Fund invests in start-ups that have strategic allignment with Achmea, the largest insurer of the Netherlands.",achmeainnovationfund@achmea.nl,https://www.achmeainnovationfund.nl,https://www.achmeainnovationfund.nl,,,"Amsterdam, Noord-Holland, The Netherlands","Amsterdam, Noord-Holland, The Netherlands",Corporate Venture Arms,,,https://www.linkedin.com/company/78778379,,6,6,"Early Stage Venture,Seed",
c2e336dd-b8b7-4f07-a93d-1317b6e4dab3,ACOM Solutions,company,info@acom.com,Acquiring and Building B2B Technology Companies,info@acom.com,https://acom.com,https://acom.com,,,"Long Beach, California, United States","Long Beach, California, United States",Corporate Venture Arms,,,https://www.linkedin.com/company/acom-solutions-inc,,1,1,Seed,https://twitter.com/acomsolves?lang=en
8af45fa3-f1ac-48d9-8f4d-4ea6491c0a91,AC Ventures,company,hector.shibata@arcacontal.com,AC Ventures is a Corporate Venture Capital fund sponsored by a Coca-Cola bottler with operations in the United States & Latam,hector.shibata@arcacontal.com,https://bit.ly/3oo1e9q,https://bit.ly/3oo1e9q,,,,,Corporate Venture Arms,,,https://www.linkedin.com/company/acv-vc,,4,4,"Early Stage Venture,Late Stage Venture,Seed,Venture",
1c5cb8f8-a6f2-41a3-ad82-4bdc2c2aa84f,ADAY,company,,Media intelligence solutions,,https://www.aday.fr/en,https://www.aday.fr/en,,,"Paris, Ile-de-France, France","Paris, Ile-de-France, France",Corporate Venture Arms,,,https://www.linkedin.com/company/aday-fr/,,1,1,,https://twitter.com/Aday_fr
bffb36bc-1914-4511-ac59-5ab0143c07f9,ADB Ventures,company,,ADB Ventures is a new venture platform that will support and invest in startups.,,https://ventures.adb.org,https://ventures.adb.org,,,"Mandaluyong, Cavite, Philippines","Mandaluyong, Cavite, Philippines",Corporate Venture Arms,,,https://www.linkedin.com/company/asian-development-bank,,38,31,Early Stage Venture,
527d5eae-becb-4d28-b836-35322a6518d0,Addington Investment Group,company,casper@addington.nl,"Venture Capital, Private Equity",casper@addington.nl,https://www.addington.nl/,https://www.addington.nl/,,,"Rotterdam, Zuid-Holland, The Netherlands","Rotterdam, Zuid-Holland, The Netherlands",Corporate Venture Arms,,Arthur Nederlof,https://www.linkedin.com/company/86227865/,,3,3,"Convertible Note,Early Stage Venture,Late Stage Venture,Private Equity,Seed,Venture",
b28c51c2-3069-416e-a674-e0f5dc7b275d,AddVentures,company,contact@addventures.co.th,AddVentures is a venture capital that partners and invests in the best digital innovations in Industrial-Enterprise-B2B verticals.,contact@addventures.co.th,https://www.addventures.co.th,https://www.addventures.co.th,,,"Bangkok, Krung Thep, Thailand","Bangkok, Krung Thep, Thailand",Corporate Venture Arms,,,https://www.linkedin.com/company/addventuresbyscg,,16,10,"Early Stage Venture,Late Stage Venture",
71b16d13-b002-42cb-9c80-5628519aae96,adesso ventures,company,,adesso ventures invests via venture capital and tech for equity.,,https://www.adesso-ventures.com/,https://www.adesso-ventures.com/,,,"Berlin, Berlin, Germany","Berlin, Berlin, Germany",Corporate Venture Arms,,,https://www.linkedin.com/company/adesso-ventures,,10,9,"Convertible Note,Early Stage Venture,Seed",
6ccc68cd-03eb-478c-bf08-bff8f0e770db,Aditya Birla Ventures,company,,Aditya Birla Ventures is a Venture Capital arm of Aditya Birla Group.,,https://www.adityabirlaventures.com/,https://www.adityabirlaventures.com/,,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",Corporate Venture Arms,,,https://www.linkedin.com/company/aditya-birla-ventures,,4,3,,
c4f221c0-8a29-41e8-aad4-c6a873f5504f,ADM Ventures,company,,ADM Ventures is a corporate venture capital arm of Archer Daniels Midland Company that invests in technology startups.,,https://www.adm.com/en-us/insights-and-innovation/innovation-services/ventures/,https://www.adm.com/en-us/insights-and-innovation/innovation-services/ventures/,,,"Decatur, Illinois, United States","Decatur, Illinois, United States",Corporate Venture Arms,,"George A. Archer, John W. Daniels",https://www.linkedin.com/company/adm,1,9,9,Early Stage Venture,
b5985420-0732-4f0d-8735-a78b236e9e9c,ADmyBRAND,company,care@admybrand.com,Stripe for Marketing. ADmyBRAND is end-to-end platform for all types of (traditional & digital) ad-spaces.,care@admybrand.com,https://www.admybrand.com/,https://www.admybrand.com/,,,"San Francisco, California, United States","San Francisco, California, United States",Corporate Venture Arms,,Sudd Goyal,https://www.linkedin.com/company/admybrand,,1,1,"Early Stage Venture,Initial Coin Offering,Non Equity Assistance,Seed",https://twitter.com/admybrand
169df106-ba62-4934-b575-0db4fbf87e16,ADV LaunchPad,company,launchpad@advgroup.ru,ADV LaunchPad is a corporate venture builder focused on AdTech & MarTech solutions. We create synergy between enterprises and startups.,launchpad@advgroup.ru,https://advpad.ru/,https://advpad.ru/,,,"Moscow, Moscow City, Russian Federation","Moscow, Moscow City, Russian Federation",Corporate Venture Arms,,Vadim Dyakov,,,1,1,"Early Stage Venture,Seed",
bdf1736c-6f72-4dcd-bd6a-a72b4abaf092,Aega ASA,company,mhe@aega.no,A solar utility stock-listed company .,mhe@aega.no,http://www.aega.no,http://www.aega.no,,,"Oslo, Oslo, Norway","Oslo, Oslo, Norway",Corporate Venture Arms,,"Fabio Buonsanti, Lars G Dysterud Hansen",https://www.linkedin.com/company/aega-as,1,1,1,Late Stage Venture,
62471006-5f98-4a55-ab98-a5bebd0f689b,AEI Horizon X,company,,AEI Horizon X is a corporate venture between private equity firm AE Industrial Partners and Boeing.,,,,,,"Boca Raton, Florida, United States","Boca Raton, Florida, United States",Corporate Venture Arms,,,,1,7,7,Early Stage Venture,
cd3d1c21-02df-4f96-aad2-d5ba2d435906,AeroCity Tech Ventures,company,hello@aerocity.tech,"AeroCity Tech Ventures make investments into businesses and ideas that can improve aviation processes, technologies and operations.",hello@aerocity.tech,https://aerocity.tech/ventures,https://aerocity.tech/ventures,,,"Vilnius, Vilniaus Apskritis, Lithuania","Vilnius, Vilniaus Apskritis, Lithuania",Corporate Venture Arms,,,https://www.linkedin.com/company/aerocitytech,,2,2,"Early Stage Venture,Late Stage Venture,Seed,Venture",
9573f9ba-8016-42eb-82d8-5ae630a18fed,Aerospace Xelerated,company,hello@xelerated.aero,Aerospace Xelerated is The Boeing Company's 3-month accelerator for software startups that can move the aerospace industry forward.,hello@xelerated.aero,https://xelerated.aero,https://xelerated.aero,,,"London, England, United Kingdom","London, England, United Kingdom",Corporate Venture Arms,12,,https://www.linkedin.com/company/aeroxelerated/,,24,24,"Convertible Note,Early Stage Venture,Seed,Venture",https://twitter.com/aeroxelerated
321c77cf-7943-4289-a8cb-0d9eb46a6c15,Aetna Ventures,company,,"Aetna Ventures, LLC operates as an investment arm of Aetna Life Insurance Company.",,,,,,"Hartford, Connecticut, United States","Hartford, Connecticut, United States",Corporate Venture Arms,,Eliphalet Adams Bulkeley,,3,4,3,,
233b7765-da45-4df9-a1a0-8a26ac1a8fb5,AEVIS VICTORIA SA,company,,"Aevis Victoria invests in services to people, healthcare, hospitality, life sciences and lifestyle. ",,http://www.aevis.com,http://www.aevis.com,,,"Fribourg, Fribourg, Switzerland","Fribourg, Fribourg, Switzerland",Corporate Venture Arms,,,https://www.linkedin.com/company/aevis-holding-sa/,,3,3,,
c3243620-cd8b-4586-8cfc-e0531e8214b9,Aflac Global Ventures,company,,"Aflac Ventures invests in startup companies in cancer, health tech, and insurtech business areas.",,http://www.aflacventures.com,http://www.aflacventures.com,,,"Columbus, Georgia, United States","Columbus, Georgia, United States",Corporate Venture Arms,,,,11,43,38,,
e7cd4e4a-6db9-45d0-a850-3dd84ccc3d66,Afri Mobility,company,contact@afrimobility.com,Afri Mobility is the venture capital arm of AKWA Group.,contact@afrimobility.com,https://afrimobility.com,https://afrimobility.com,,,,,Corporate Venture Arms,,,https://www.linkedin.com/company/afrimobility,1,15,12,Early Stage Venture,
c97cdaf5-648c-4692-9a1c-ab56203c00cc,Afroreef International,company,info@afroreefinternational.com,"Afroreef International is a Pan-African diversified investment company, focusing on strategic proprietary investments.",info@afroreefinternational.com,https://afroreefinternational.com,https://afroreefinternational.com,,,,,Corporate Venture Arms,,Simon Magama,,,1,1,"Private Equity,Seed,Venture",
dc2205d4-c7cc-45c0-9203-1043ad63b66c,Agder Energi Venture,company,vidar.kristoffer.strat@ae.no,"Agder Energi Venture is the venture capital arm of Agder Energi AS specializing in seed, early, mid and late venture investments.",vidar.kristoffer.strat@ae.no,https://www.ae.no/var-virksomhet/fornyelse/venture/,https://www.ae.no/var-virksomhet/fornyelse/venture/,,,"Kristiansand, Vest-Agder, Norway","Kristiansand, Vest-Agder, Norway",Corporate Venture Arms,,Tor Oystein Repstad,https://www.linkedin.com/company/agder-energi-as/,2,6,3,Late Stage Venture,
cdd1a003-3c98-4f46-8b5d-a7457c3ab19e,Agilent Ventures,company,,"Put simply, Agilent Ventures invests in private early-stage high-technology companies. The organization focuses on investments in life",,https://www.investor.agilent.com,https://www.investor.agilent.com,,,"Palo Alto, California, United States","Palo Alto, California, United States",Corporate Venture Arms,,,,2,10,8,,
5aef557e-71fa-46fa-b035-ff4f867fff5c,AGNC Ventures,company,,AGNC Ventures is an investment Firm.,,https://www.linkedin.com/company/agnc-investment-corp/,https://www.linkedin.com/company/agnc-investment-corp/,,,"Bethesda, Maryland, United States","Bethesda, Maryland, United States",Corporate Venture Arms,,,,2,5,4,,
1aace2d8-a8dd-4112-8c78-90bc79db8fba,Agrocorp Ventures,company,,Agrocorp Ventures is the venture capital arm of agribusiness and commodities handler Agrocorp.,,https://agrocorp.com.sg/agrocorp-ventures/,https://agrocorp.com.sg/agrocorp-ventures/,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",Corporate Venture Arms,,,,,1,1,Early Stage Venture,
5a2b2313-775c-4d4a-9c81-35d75d1051f2,Agro Innovation Lab Gmbh,company,office@agroinnolab.com,"The Agro Innovation Lab is a joint innovation platform of BayWa & RWA, two of the most important players in the global agricultural sector. ",office@agroinnolab.com,https://www.agroinnovationlab.com,https://www.agroinnovationlab.com,,,"Vienna, Wien, Austria","Vienna, Wien, Austria",Corporate Venture Arms,,,https://www.linkedin.com/company/agroinnovationlab,,2,1,"Early Stage Venture,Late Stage Venture,Seed",
b3d7f71c-33ce-4031-99e9-7d7cb4ceeb30,AG Ventures,company,,AG Ventures is an investment arm of AG Artists.,,,,,,"Brooklyn, New York, United States","Brooklyn, New York, United States",Corporate Venture Arms,,,,,2,2,Early Stage Venture,
8906b10a-a366-4078-ba97-00699a936d66,AI and Robotics Ventures,company,contact@arv.co.th,AI and Robotics Ventures aims to innovate and develop new technologies and creates AI and Robotics solutions.,contact@arv.co.th,https://arv.co.th/,https://arv.co.th/,,,"Bangkok, Krung Thep, Thailand","Bangkok, Krung Thep, Thailand",Corporate Venture Arms,,,https://www.linkedin.com/company/ai-and-robotics-ventures,,2,2,,
a0a49eae-9882-4ca8-bf8e-fbacb0e13218,Airbus,company,airbusgroup.web@airbus.com,Airbus is a manufacturer of aircraft products.,airbusgroup.web@airbus.com,http://www.airbus.com,http://www.airbus.com,,,"Leiden, Zuid-Holland, The Netherlands","Leiden, Zuid-Holland, The Netherlands",Corporate Venture Arms,,"Bernard Lathiere, Felix Kracht, Franz Josef Strauss, Henri Ziegler, Roger Beteille",https://www.linkedin.com/showcase/airbus,3,6,6,"Early Stage Venture,Late Stage Venture,Seed",https://twitter.com/Airbus
2e35a8ba-2fdd-4206-b7a5-312cb526219e,Air Liquide Ventures,company,,Corporate venture capital fund of Air Liquide Groupe,,https://www.airliquide.com/group/aliad,https://www.airliquide.com/group/aliad,,,"Paris, Ile-de-France, France","Paris, Ile-de-France, France",Corporate Venture Arms,,,,2,8,8,Early Stage Venture,
5cac172b-b8ee-4228-b842-aaec04c55c8f,AIRMESH,company,corp.sg@airmesh.group,Enabling Connected Life,corp.sg@airmesh.group,http://www.airmesh.com,http://www.airmesh.com,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",Corporate Venture Arms,,Vikram Gupta,https://www.linkedin.com/company/airmesh,,2,2,"Early Stage Venture,Secondary Market,Seed",http://twitter.com/airmesh
bbf6571b-5a88-4ef7-91fe-f622a893bfe4,Airstream Ventures,company,,Airstream Ventures is a corporate venturing and investment company focused on technology-driven businesses.,,https://airstreamcapital.co.uk,https://airstreamcapital.co.uk,,,"Radlett, Hertford, United Kingdom","Radlett, Hertford, United Kingdom",Corporate Venture Arms,,,https://www.linkedin.com/company/airstream-capital/about/,,1,1,Early Stage Venture,
7ecef9a3-eb29-4c7f-be6c-c8a9608c6a91,Ai You,company,ay@ayfoundation.org,Ai You implements various programs across China and promotes the development of the charity cause globally.,ay@ayfoundation.org,http://www.ayfoundation.org/,http://www.ayfoundation.org/,,,,,Corporate Venture Arms,,,https://www.linkedin.com/company/ai-you-foundation,,1,1,,
e813d1dc-8b88-4912-aa87-658da7e17b82,AKT Health,company,info@akthealth.com,AKT Health is a Healthcare & Life Science Strategy Consulting firm,info@akthealth.com,https://akthealth.com/,https://akthealth.com/,,,"Hyderabad, Andhra Pradesh, India","Hyderabad, Andhra Pradesh, India",Corporate Venture Arms,,Aditya Tallapragada,https://www.linkedin.com/company/akt-health/,,1,1,Seed,
ac595faf-09ad-4c05-98ef-d86026c1c63d,Albaraka Fintech Fund,company,,Fintech fund of Albaraka Turk,,,,,,,,Corporate Venture Arms,,,,,8,8,,
0ae3295d-4cd5-4d5a-9f8f-91d426ad960f,Alcatel Ventures,company,,Alcatel Ventures was a venture capital partnership that invested in privately held companies which command unique technology.,,http://www.alcatel-lucent.com,http://www.alcatel-lucent.com,,,"Paris, Ile-de-France, France","Paris, Ile-de-France, France",Corporate Venture Arms,,,,8,13,10,,http://twitter.com/Alcatel_Lucent
d9646500-6578-4f68-8d59-a57b3a71b951,Alcyon,company,,First veterinary central purchasing organization in Europe,,https://www.alcyon.com/,https://www.alcyon.com/,,,"Paris, Ile-de-France, France","Paris, Ile-de-France, France",Corporate Venture Arms,,,https://www.linkedin.com/company/alcyon-france,1,1,1,Seed,
440e9a68-7e2d-40d1-84fa-df058b50e9b1,Aleve LegalTech Ventures,company,,"Aleve Legaltech Ventures is the first Venture Builder in the legal sector, which continuously selects applied innovations and startups.",,https://www.alevelegaltech.com.br/,https://www.alevelegaltech.com.br/,,,,,Corporate Venture Arms,,,https://www.linkedin.com/company/aleve-legaltech-ventures,,1,1,"Early Stage Venture,Venture",
57efb184-2812-421f-a565-8a10056fd2a0,Alexander Hutton Venture Partners,company,support@integraonline.com,The $95 million Alexander Hutton Venture Partners fund was inaugurated in December 1999. Our venture fund builds on the strong performance,support@integraonline.com,http://www.ahvp.com,http://www.ahvp.com,,,"Seattle, Washington, United States","Seattle, Washington, United States",Corporate Venture Arms,,"Jerry Keppler, Kent L. Johnson",,5,12,8,,
3657766a-4000-4f31-af4c-9b844183bfbc,Alexandria,company,jcox@are.com,Alexandria Real Estate Equities is a strategic venture capital arm of Alexandria Real Estate Equities.,jcox@are.com,http://www.are.com,http://www.are.com,,,"San Francisco, California, United States","San Francisco, California, United States",Corporate Venture Arms,,Joel Marcus,https://www.linkedin.com/company/alexandria-real-estate-equities-inc-,20,45,39,"Early Stage Venture,Late Stage Venture,Seed",
991411ee-427c-441b-9a91-8f1dd89c9f5b,Aliaxis Ventures,company,,Aliaxis Ventures operates as a venture arm of Aliaxis group.,,https://aliaxis.com/who-we-are/aliaxis-ventures/,https://aliaxis.com/who-we-are/aliaxis-ventures/,,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Corporate Venture Arms,,,https://www.linkedin.com/company/aliaxis,,1,1,Early Stage Venture,
