id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,Countries of Investment,Investment Thesis,Investor Type,Stage Of Investment
ae28193f-d1d8-47f8-94d8-b56a34a3ef17,Atlas Ventures (Singapore),company,,,,http://atlas.ventures/,http://atlas.ventures/,,,"80 Raffles Place, #57-01, Singapore, Singapore 048624, SG","80 Raffles Place, #57-01, Singapore, Singapore 048624, SG",Top 100 Investors in South East-Asia and India,"Malaysia,Vietnam,Philippines,Thailand,Indonesia,Singapore,USA,Australia,Israel","We invest in startups within fast-growing, overlooked verticals and geographies. Currently, we're focused on cybersecurity, ecommerce enablers, interactive/ new media, and startups looking to digitize traditional industries.",VC,"3. Early Revenue,4. Scaling"
ca9d4e7e-6f8b-4755-abd0-14c2092505da,Axilor Ventures,company,,Axilor Ventures is an early stage seed fund and startup accelerator founded by Infosys co-founders Kris Gopalakrishnan and SD Shibulal,,http://axilor.com/,http://axilor.com/,,,"No. 739, 15th Cross, 6th Phase JP Nagar, Sarakki, Bangalore, Karnataka 560078, India","No. 739, 15th Cross, 6th Phase JP Nagar, Sarakki, Bangalore, Karnataka 560078, India","VC investing in India ,Top 100 Investors in South East-Asia and India",India,"We invest in early-stage startups in India. We focus on Enterprise and Consumer software, Deep tech, Fintech and Healthtech",VC,"2. Prototype,3. Early Revenue"
7450b7cb-5785-42d1-bd50-f48701071666,Beacon Venture Capital,company,,Corporate venture capital fund of KASIKORNBANK focusing on early and growth-stage technology companies,,http://beaconvc.fund,http://beaconvc.fund,,,"Bangkok, Krung Thep, Thailand","Bangkok, Krung Thep, Thailand","Corporate Venture Arms,Top 100 Investors in South East-Asia and India",Thailand,,Corporate VC,
904f8d7d-fd27-4d40-b9e2-c47a0b06fb3d,Beenext,company,,,,https://www.beenext.com/,https://www.beenext.com/,,,Singapore,Singapore,Top 100 Investors in South East-Asia and India,Singapore,,VC,
6eadd785-9f13-43af-84a9-a1cfc8b5734a,Bharat Innovation Fund,company,,,,https://bharat.fund/,https://bharat.fund/,,,India,India,"VC investing in India ,Top 100 Investors in South East-Asia and India",India,,VC,3. Early Revenue
2ce072e9-6f9f-45cd-b190-f6a5c384db13,Brand Capital,company,sf@brandcapital.co.in,"Over ten years, Brand Capital has partnered in the building of over 850+ indigenous brands.",sf@brandcapital.co.in,http://brandcapital.co.in/#,http://brandcapital.co.in/#,,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India","Corporate Venture Arms,VC investing in India ,Top 100 Investors in South East-Asia and India",India,,Corporate VC,
b24d5004-ced4-4bb0-bf32-2883a53671ca,Captii Ventures,company,,,,https://captii.vc/,https://captii.vc/,,,Malaysia,Malaysia,Top 100 Investors in South East-Asia and India,Malaysia,,VC,
6748d6ac-7c2c-4830-a691-f49d4d63cfe6,CCV Central Capital Ventura,company,,,,https://centralcapital.vc,https://centralcapital.vc,,,"Jakarta, Jakarta Raya, Indonesia","Jakarta, Jakarta Raya, Indonesia",Top 100 Investors in South East-Asia and India,Indonesia,,Corporate VC,
06809289-a441-4d2a-a272-35b7ddd1c4f1,Chiratae Ventures (ex-IDG Ventures India),company,,,,http://chiratae.com/,http://chiratae.com/,,,"Bangalore, Karnataka, India","Bangalore, Karnataka, India","VC investing in India ,Top 100 Investors in South East-Asia and India",India,,Corporate VC,3. Early Revenue
a12536fb-78bb-4ccf-9c9e-fbfea34552fc,Choco Up,company,,,,https://choco-up.com/,https://choco-up.com/,,,"17/F, Prosperity Millennia Plaza, 663 Kingâ€™s Road, Quarry Bay, Hong Kong , Hong Kong, HK","17/F, Prosperity Millennia Plaza, 663 Kingâ€™s Road, Quarry Bay, Hong Kong , Hong Kong, HK",Top 100 Investors in South East-Asia and India,"Malaysia,Vietnam,Philippines,Thailand,Indonesia,Singapore,USA,Australia,Germany,UK,Canada,Hong Kong,Bangladesh,Pakistan,New Zealand,France,Ireland,Italy,Spain",We finance any types of businesses and are sector agnostic. Our minimum eligibility criteria includes: 6+ months of company operating history and revenue greater than USD 10k/month.,Revenue-based,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO"
ee2b1469-4a66-4f6d-b028-42ff5e3e38d1,Click Ventures,company,,,,https://www.clickventures.vc/,https://www.clickventures.vc/,,,Hong Kong,Hong Kong,Top 100 Investors in South East-Asia and India,"USA,Israel,Canada,Hong Kong",,VC,3. Early Revenue
d5aa900c-ce7a-4450-b69c-411f702fa6a4,Cloud Capital,company,,,,https://www.cloudcap.in/,https://www.cloudcap.in/,,,"Delhi, India","Delhi, India","VC investing in India ,Top 100 Investors in South East-Asia and India","Singapore,India",We invest in tech-first Indian startups building global products.,VC,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling"
127645d5-ee1c-4e00-987c-1837502c5f7a,Cocoon Capital,company,,,,https://cocooncap.com/,https://cocooncap.com/,,,"1 North Bridge Road, 08-08, Singapore, Singapore 179094, SG","1 North Bridge Road, 08-08, Singapore, Singapore 179094, SG",Top 100 Investors in South East-Asia and India,"Malaysia,Vietnam,Philippines,Thailand,Indonesia,Singapore,Myanmar","We invest in B2B and Deep tech startups across Southeast Asia. We are industry agnostic, investing within the medtech, fintech, insurtech, and other deep tech verticals.",VC,"1. Idea or Patent,2. Prototype,3. Early Revenue"
960209f2-851a-42c0-9795-2998dd93ba09,Digital Ventures by Siam Commercial Bank (SCB),company,,,,http://dv.co.th/index.php,http://dv.co.th/index.php,,,"Bangkok, Krung Thep, Thailand","Bangkok, Krung Thep, Thailand",Top 100 Investors in South East-Asia and India,Thailand,,Corporate VC,
ea08e459-cffb-4de0-9143-f4f4b60e2588,DreamLabs,company,,,,http://www.dreamlabs.sg/,http://www.dreamlabs.sg/,,,Singapore,Singapore,Top 100 Investors in South East-Asia and India,Singapore,,VC,
53797f4b-6d4b-40e9-8237-6076d1648bd0,Dwarves Ventures,company,,,,https://dwarves.ventures/,https://dwarves.ventures/,,,"5B Pho Quang, Ho Chi Minh city, Vietnam","5B Pho Quang, Ho Chi Minh city, Vietnam",Top 100 Investors in South East-Asia and India,"Vietnam,Singapore,USA,UK,Canada",We invest in bootstrappers & early stage tech founders.,VC,"1. Idea or Patent,2. Prototype,3. Early Revenue"
2e679e07-fd9d-4cb2-b4bf-9be681acb932,Eagle Asia Partners,company,,Eagle Asia Partners is an independent fund of funds management firm that focuses on private equity investments in the Asian region.,,http://www.eaglecps.com,http://www.eaglecps.com,,,Singapore,Singapore,Top 100 Investors in South East-Asia and India,Australia,,VC,
bbabd197-6d59-473f-8f5e-b4b2ae1fb7d6,East Ventures,company,,East Ventures is an early stage venture fund focusing on SEA and Japan with 4 unicorns in its portfolio.,,https://east.vc/,https://east.vc/,,,"Singapore, Singapore 573969, SG","Singapore, Singapore 573969, SG","All VCs ,Top 100 Investors in South East-Asia and India","Malaysia,Philippines,Thailand,Indonesia,Singapore,Japan",We invest in seed-stage startups,VC,"1. Idea or Patent,2. Prototype,3. Early Revenue"
268a7190-3276-4b62-a9e9-62050c1cecad,Elementz Ventures,company,,,,https://elementzventures.com/,https://elementzventures.com/,,,Hong Kong,Hong Kong,Top 100 Investors in South East-Asia and India,USA,,VC,3. Early Revenue
19fcf992-12d9-4478-b039-4d62f61940ac,Elev8 VC,company,,,,https://elev8.vc,https://elev8.vc,,,"6A Shenton Way #04-01 to 09, Singapore, Singapore 068815, SG","6A Shenton Way #04-01 to 09, Singapore, Singapore 068815, SG",Top 100 Investors in South East-Asia and India,"Malaysia,Vietnam,Philippines,Indonesia,Singapore,USA,Taiwan","We invest in deeptech startups from Pre-Seed to Pre-A. Our key verticals include smart mobility, medtech, complex computing and novel materials & engineering. We have a global mandate with a preference to Singapore startups or a Singapore angle. ",VC,"1. Idea or Patent,2. Prototype,3. Early Revenue"
b948dc82-2117-4c32-8611-6a6559281a0c,Emerald Media by KKR,company,,,,http://emeraldmedia.asia/,http://emeraldmedia.asia/,,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India","VC investing in India ,Top 100 Investors in South East-Asia and India",India,,Corporate VC,
959d09d0-0458-4b44-9a14-a0b08c426e07,Endiya,company,,,,https://endiya.com/,https://endiya.com/,,,India,India,Top 100 Investors in South East-Asia and India,"USA,Israel,Canada",,VC,"2. Prototype,3. Early Revenue"
03fb926e-8d96-4128-857a-44eaa088334c,Esco Ventures,company,ventures@escoglobal.com,"Esco Ventures invests at the early stage in life sciences tools & diagnostics, women's health and therapeutics.",ventures@escoglobal.com,https://www.escoventures.com/,https://www.escoventures.com/,,,Singapore,Singapore,"Corporate Venture Arms,Top 100 Investors in South East-Asia and India","Singapore,USA",,Corporate VC,3. Early Revenue
ce13a5a8-8f71-49a5-bea7-83b1ce8ea38a,Everhaus,company,,,,https://ever.haus/,https://ever.haus/,,,Indonesia,Indonesia,Top 100 Investors in South East-Asia and India,Indonesia,,VC,2. Prototype
6d3ce50a-f1f1-4c95-8f3e-c1ce3b10c977,Far East Ventures,company,,,,http://www.fareast.ventures/about.html,http://www.fareast.ventures/about.html,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",Top 100 Investors in South East-Asia and India,Singapore,,Corporate VC,
121653cb-992e-4d3e-98c9-714c04e9f77f,Galaxy Ventures,company,,,,http://www.galaxyventures.co.th,http://www.galaxyventures.co.th,,,"Bangkok, Krung Thep, Thailand","Bangkok, Krung Thep, Thailand",Top 100 Investors in South East-Asia and India,Thailand,,Corporate VC,
935fcb47-c4cd-4f13-86d8-d01c99a25b67,Gamerforce Ventures,company,,,,https://www.gamerforce.vc,https://www.gamerforce.vc,,,Singapore,Singapore,"VC investing in India ,Top 100 Investors in South East-Asia and India","Malaysia,Vietnam,Philippines,Indonesia,Singapore,India,USA,Australia,UK,Hong Kong","We invest in esports, gaming with a primary focus on platforms and software that can scale across leagues, games and teams. Most of our investments tend to have a B2B focus.",VC,"3. Early Revenue,4. Scaling"
38cbb369-16fa-4fa2-b459-7b6576988967,Genting Ventures,company,,Genting Ventures is a venture capital arm of Getting Group.,,https://www.gentingventures.genting/,https://www.gentingventures.genting/,,,Singapore,Singapore,"Corporate Venture Arms,Top 100 Investors in South East-Asia and India","Malaysia,Vietnam,Philippines,Thailand,Indonesia,Singapore,USA,UK",We invest in tech-driven businesses which are synergistic to our BUs.,Corporate VC,"3. Early Revenue,4. Scaling,5. Growth"
a616497e-52d2-4cae-acf4-a3f947f55a14,GetVantage,company,,,,https://getvantage.co/,https://getvantage.co/,,,"16th Floor, D Wing, Trade World,Â Kamala Mills Compound,Â Senapati Bapat Marg,Â Lower Parel, Mumbai,Â Maharashtra 400013, India","16th Floor, D Wing, Trade World,Â Kamala Mills Compound,Â Senapati Bapat Marg,Â Lower Parel, Mumbai,Â Maharashtra 400013, India","VC investing in India ,Top 100 Investors in South East-Asia and India",India,"We finance exciting early and growth stage digital-first, eCommerce brands, and SaaS companies.

Investments range from $25K to $250k and are repaid via a revenue share agreement with a flat 6-12% fee.

As a founders-first company, we look to empower founders with non-dilutive growth capital to allow them to maintain ownership and control.

We are sector agnostic and look to identify high-growth and high potential companies that could benefit from revenue-based financing instead of equity capital to fuel marketing & inventory spends.

As we look to expand to Southeast Asia, we are scouting companies in Singapore and other markets across the region.",Revenue-based,"3. Early Revenue,4. Scaling,5. Growth"
6560741e-1266-4123-8d6d-3fd5ca41d549,GrowX Ventures,company,,,,http://growxventures.com/,http://growxventures.com/,,,India,India,"VC investing in India ,Top 100 Investors in South East-Asia and India",India,,VC,2. Prototype
c10d4dd1-3177-41d0-bb40-62111a2fbaa4,GT Healthcare Capital Partners,company,,,,http://www.gthcap.com/,http://www.gthcap.com/,,,Hong Kong,Hong Kong,Top 100 Investors in South East-Asia and India,Hong Kong,,VC,3. Early Revenue
eefc6f6d-3968-4f9e-9d05-ff46d888487e,GTR Ventures,company,info@gtrventures.vc,"Venture and Debt Capital for Trade, Trade finance, and SME finance",info@gtrventures.vc,http://gtrventures.vc/,http://gtrventures.vc/,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore","Corporate Venture Arms,Top 100 Investors in South East-Asia and India",Singapore,,Corporate VC,
2e43195a-90ef-40d5-a21b-afd58df5e3d4,Harvest Global Investments,company,,Harvest Global Investments Limited (â€œHGIâ€) was established in Hong Kong as a wholly owned subsidiary of Harvest Fund Management.,,http://www.harvestglobal.com.hk/en/home/,http://www.harvestglobal.com.hk/en/home/,,,"Central, Hong Kong Island, Hong Kong","Central, Hong Kong Island, Hong Kong","Corporate Venture Arms,Top 100 Investors in South East-Asia and India",Hong Kong,,Corporate VC,
f76d1902-c12f-4fa6-90c5-a6a6560a21bd,Heritas Capital Management,company,,,,https://www.heritascapital.com/,https://www.heritascapital.com/,,,Singapore,Singapore,Top 100 Investors in South East-Asia and India,"Singapore,USA",,VC,3. Early Revenue
c5553b77-819a-4189-81f2-d9bda3aded4d,HG Ventures by The Heritage Group,company,,,,https://hgventures.com/,https://hgventures.com/,,,"6320 Intech Way, Indianapolis, Indiana 46278, US","6320 Intech Way, Indianapolis, Indiana 46278, US",Top 100 Investors in South East-Asia and India,"USA,UK,Israel,Canada","We  invest in companies from seed to growth-equity stage in chemicals, construction, materials science and sustainability with thematic connections to The Heritage Group",Corporate VC,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth"
3dce64f9-8c00-4f5b-8b2d-c432ad6fe91d,High Alpha,company,,,,https://highalpha.com/,https://highalpha.com/,,,"830 Massachusetts Ave Suite 1500 Floor 4, Indianapolis, IN 46204","830 Massachusetts Ave Suite 1500 Floor 4, Indianapolis, IN 46204","All VCs ,Seed & Series A US VC's ,Top 100 Investors in South East-Asia and India","USA,Canada","We invest in B2B SaaS. 

High Alpha is an Indianapolis-based venture studio, focusing on company creation and scale in the B2B SaaS space. High Alpha Capital is where we make external investments (outside of our studio) from our $110M fund into companies with sales and operations in the US & Canada, raising pre-seed through Series B financings, looking for average check sizes between $1-5M. Within B2B SaaS, we're generally agnostic, but have quite a few investments in ecommerce, supply chain & logistics, future of work, enterprise software and more. We typically like to lead, but will also co-invest or invest as part of a syndicate. ",VC,"3. Early Revenue,4. Scaling"
ef7037a0-2264-4e32-8be4-e7f1838e182b,HKSTP,company,,,,https://www.hkstp.org/innovate-with-us/investment-opportunities/hkstp-ventures/,https://www.hkstp.org/innovate-with-us/investment-opportunities/hkstp-ventures/,,,Hong Kong,Hong Kong,Top 100 Investors in South East-Asia and India,"USA,Israel,Canada",,VC,3. Early Revenue
6fec609c-6b8e-4b92-9d1b-f4046373fbe1,Horizons Ventures,company,,Horizons Ventures focuses on investing in disruptive and technology-focused start-ups.,,https://www.horizonsventures.com/,https://www.horizonsventures.com/,,,Hong Kong,Hong Kong,Top 100 Investors in South East-Asia and India,"USA,Israel,Canada",,VC,3. Early Revenue
634a9907-35e5-4e4c-8488-feef90fa1e6f,IAN Fund,company,,,,https://www.ian-fund.com/,https://www.ian-fund.com/,,,"Delhi, India","Delhi, India","VC investing in India ,Top 100 Investors in South East-Asia and India",India,We invest in post-revenue Indian startups. Sector agnostic.,VC,"3. Early Revenue,4. Scaling,5. Growth"
7c091697-7918-4937-ba87-60b57a24d3df,IDG Ventures,company,,,,http://www.idgventures.com/,http://www.idgventures.com/,,,"Bangalore, Karnataka, India","Bangalore, Karnataka, India","VC investing in India ,Top 100 Investors in South East-Asia and India",India,,Corporate VC,
d6b79cda-c8a6-40aa-9d4d-3a5ca4e0ab14,Indian Angel Network,company,,,,https://www.indianangelnetwork.com/,https://www.indianangelnetwork.com/,,,"Delhi, India","Delhi, India","All VCs ,VC investing in India ,Top 100 Investors in South East-Asia and India",India,We invest in early and growth-stage startups. We're sector agnostic and have invested in over 160 companies across 17 different sectors and 7 countries.,Angel network,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth"
3895c8a6-69eb-4867-8bec-92498924c78f,Innopact,company,,,,https://www.innopact.vc/,https://www.innopact.vc/,,,Singapore,Singapore,"VC investing in India ,Top 100 Investors in South East-Asia and India","Philippines,Singapore,India,USA,UK,Bangladesh,Mexico,Colombia","We invest in audacious entrepreneurs driving high-impact technology innovation across emerging markets. 

The biggest venture returns in the next decade will come from relentless innovation in business models - to successfully target underserved customers at scale.

Innopact is an angel syndicate dedicated to capturing the 'emergent consumer' technology opportunity across emerging markets. We are
- technology-centric
- sector-agnostic
- entrepreneur-focused
- partners - not just investors
As early-stage investors, our approach is simple = find and win early-stage deals where there's a Large space x Great team x Right timing x 100x impact potential",VC,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling"
10f3060f-a1f8-46de-a69e-75da7b148fd5,Insignia Ventures,company,,,,https://www.insignia.vc/,https://www.insignia.vc/,,,Singapore,Singapore,Top 100 Investors in South East-Asia and India,Singapore,,VC,3. Early Revenue
567068f5-7665-4f30-9f72-62c1b5b3e02c,Intudo Ventures,company,,,,https://www.intudovc.com/,https://www.intudovc.com/,,,Indonesia,Indonesia,Top 100 Investors in South East-Asia and India,Indonesia,,VC,3. Early Revenue
95e1eb17-a42d-4909-9271-1d3f99c00862,InVent by Intouch Holdings,company,,,,http://www.inventvc.com,http://www.inventvc.com,,,"Bangkok, Krung Thep, Thailand","Bangkok, Krung Thep, Thailand",Top 100 Investors in South East-Asia and India,Thailand,,Corporate VC,
8fc1fb01-2320-4714-8ce0-5ecdd4920dd6,iSeed,company,,,,https://www.iseed.vc,https://www.iseed.vc,,,"New Delhi, India","New Delhi, India","VC investing in India ,Top 100 Investors in South East-Asia and India",India,We invest in mission-driven Indian founders and bringing Silicon Valley's top operator minds closer to them.,Solo angel,"1. Idea or Patent,2. Prototype,3. Early Revenue"
6f5d6371-b048-4ed5-82b9-cf3f2fe5d859,Jungle Ventures,company,,"Jungle Ventures is an independent venture capital firm based in Singapore, investing in and helping build tech category leaders.",,https://www.jungle.vc,https://www.jungle.vc,,,Singapore,Singapore,"All VCs ,Top 100 Investors in South East-Asia and India","Singapore,Australia",,VC,3. Early Revenue
31debe23-2682-4f8d-a49d-7b19a9968ebb,Kalaari Capital,company,,,,https://www.kalaari.com/,https://www.kalaari.com/,,,"Navigator Building, ITPL, Whitefield, Bangalore 560066, Karnataka, India","Navigator Building, ITPL, Whitefield, Bangalore 560066, Karnataka, India","All VCs ,VC investing in India ,Top 100 Investors in South East-Asia and India",India,We invest in tech startups building for the Indian market or building in India for the global markets,VC,"1. Idea or Patent,2. Prototype,3. Early Revenue"
53b8c40d-d73a-4114-84cc-5380b126cac7,Khoob,company,,,,http://khoob.group/,http://khoob.group/,,,"3rd Floor Kushal House 39 Nehru Place, New Delhi, 110019, IndiaÂ","3rd Floor Kushal House 39 Nehru Place, New Delhi, 110019, IndiaÂ","VC investing in India ,Top 100 Investors in South East-Asia and India",India,We invest in interesting early stage Indian companies.,VC,"1. Idea or Patent,2. Prototype"
d57980fe-5f84-4544-ad7f-a88cb5d3d935,KK39 Ventures,company,,,,https://www.weehur.com.sg/,https://www.weehur.com.sg/,,,"39 Kim Keat Road , Singapore, Singapore 328814, SG","39 Kim Keat Road , Singapore, Singapore 328814, SG",Top 100 Investors in South East-Asia and India,"Malaysia,Vietnam,Thailand,Indonesia,Singapore,Australia,New Zealand","We invest in scalable businesses that provide solutions to either improve the lives of many or bring about efficiencies to consumers/businesses. Business that are synergistic to our core business of construction, development and student accommodation are extremely welcomed.",Corporate VC,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO"
6b181eda-3d03-4ed6-a9c0-908038ad28e5,KK Fund,company,,,,http://kkfund.co/,http://kkfund.co/,,,Singapore,Singapore,Top 100 Investors in South East-Asia and India,Singapore,,VC,
9f6d597a-b1fc-4e48-8c8e-138872e2df9d,Krungsri Finnovate,company,finnovate@krungsri.com,Krungsri Finnovate is a venture capital firm aiming to be a strategic investor supporting startups to grow toward their set goals.,finnovate@krungsri.com,https://www.krungsrifinnovate.com/en/,https://www.krungsrifinnovate.com/en/,,,"Bangkok, Krung Thep, Thailand","Bangkok, Krung Thep, Thailand","Corporate Venture Arms,Top 100 Investors in South East-Asia and India",Thailand,,Corporate VC,
cb070ccd-de7e-432c-84fd-dacd9748366c,KV Ventures,company,,,,https://kv.ventures,https://kv.ventures,,,"Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam",Top 100 Investors in South East-Asia and India,"Vietnam,USA",We invest in US-based Blockchain startups with $500K + APR,VC,"3. Early Revenue,1. Idea or Patent,2. Prototype"
b1f4dcf4-cabe-404b-bd4d-ed660defe21f,Leet Capital,company,,,,http://leet.capital/,http://leet.capital/,,,"C-19-08, KL Trillion, 50400 Kuala Lumpur, Malaysia","C-19-08, KL Trillion, 50400 Kuala Lumpur, Malaysia",Top 100 Investors in South East-Asia and India,Malaysia,"We invest in high potential growth scale companies using equity crowd funding. We are licensed by the Securities Commission, Malaysia. ",Other,"4. Scaling,5. Growth,6. Pre-IPO"
8260ad57-5893-4a2f-a2f7-2164c5591fd6,Lets Venture,company,,,,https://letsventure.com/,https://letsventure.com/,,,India,India,"VC investing in India ,Top 100 Investors in South East-Asia and India",India,,VC,
bedf8e33-4742-4cec-8254-a3f292d99a7d,Lilly Ventures,company,lilly_ventures@lilly.com,Lilly Ventures is an Indiana-based venture capital firm that provides investment to companies in the life sciences sector.,lilly_ventures@lilly.com,http://www.lillyventures.com,http://www.lillyventures.com,,,"Indianapolis, Indiana, United States","Indianapolis, Indiana, United States","Corporate Venture Arms,Top 100 Investors in South East-Asia and India",USA,,Corporate VC,
4298bdae-1556-4a6a-908e-05869d3242b9,Mahindra Partners,company,mpartners@mahindra.com,Private Equity and Corporate Venture Capital arm of Mahindra Group based in Mumbai (India) and San Jose (USA),mpartners@mahindra.com,http://www.mahindrapartners.com,http://www.mahindrapartners.com,,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India","Corporate Venture Arms,VC investing in India ,Top 100 Investors in South East-Asia and India",India,,Corporate VC,
8bc64927-70f5-4c7b-816f-01bcdd0d2bfa,Majuven,company,,,,https://www.majuven.com/,https://www.majuven.com/,,,Singapore,Singapore,Top 100 Investors in South East-Asia and India,Singapore,,VC,3. Early Revenue
04ba226c-e172-4c56-be77-87e16e0917f0,Makers Fund,company,,Makers Fund is a global interactive entertainment venture capital firm focused on early stage investments.,,https://makersfund.com/,https://makersfund.com/,,,Singapore,Singapore,"All VCs ,Top 100 Investors in South East-Asia and India","USA,Israel,Canada",,VC,3. Early Revenue
835a5cdc-7ffb-4624-b39a-3600b7b4d282,Malpani Ventures,company,pitch@malpaniventures.com,Funding frugal innovation in India,pitch@malpaniventures.com,https://www.malpaniventures.com,https://www.malpaniventures.com,,,"BKC, Mumbai, Maharashtra, India - 400071","BKC, Mumbai, Maharashtra, India - 400071","VC investing in India ,All Asian Family Offices,Top 100 Investors in South East-Asia and India",India,"We invest in early revenue/ traction India focused companies across software/ SAAS, education and healthcare",Family office,"2. Prototype,3. Early Revenue"
27655f45-df11-4e0d-874d-202b1786e448,MCI Mandiri Capital Indonesia,company,,,,http://mandiri-capital.co.id/en/home/,http://mandiri-capital.co.id/en/home/,,,"Jakarta, Jakarta Raya, Indonesia","Jakarta, Jakarta Raya, Indonesia",Top 100 Investors in South East-Asia and India,Indonesia,,Corporate VC,
