id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,Number of Exits,Number of Investments,Number of Portfolio Organizations
ecebd84a-87d0-437e-ac47-cdb85bec5e5a,Adani Capital,company,contact.acpl@adani.com,"Adani Capital, the non-banking financial company.",contact.acpl@adani.com,https://www.adanicapital.in/,https://www.adanicapital.in/,,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",All Asian Family Offices,1,2,2
0dafefa5-b386-4dd0-a8a3-a716144fccc4,Aditya Vuchi's family office,company,,Aditya vuchi's family office is an investment firm.,,,,,,"Hyderabad, Andhra Pradesh, India","Hyderabad, Andhra Pradesh, India",All Asian Family Offices,,1,1
a43a8be6-914c-479d-8198-c2c4c997d715,Aglaia Family Office,company,,Aglaia Family Office provide comprehensive and bespoke family office services to ultra high net worth families.,,https://aglaiaim.com/,https://aglaiaim.com/,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,,3,3
e219c30f-934f-4a23-ae58-e8ce63790c4b,AIJ Global,company,info@aij.global,We support entrepreneurial growth stories globally. We are PE/VC & Search Fund investors.,info@aij.global,https://www.aij.global,https://www.aij.global,,,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Abu Dhabi, Abu Dhabi, United Arab Emirates",All Asian Family Offices,,3,2
7c8813fe-3d21-45f6-a4c5-340ab62acc6f,Ajax Capital,company,,"Ajax Capital, the family office of entrepreneur Ajay Gupta.",,,,,,"New Delhi, Delhi, India","New Delhi, Delhi, India",All Asian Family Offices,,2,2
ddcc4d4c-cd24-4fc3-b50a-98b2839bfcc9,AJ Capital,company,,AJ Capital is a family office of Jhunjhunwala family.,,https://ajcapital.com,https://ajcapital.com,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,,4,4
f0aa56f1-099a-4854-8c13-81479b9b1e58,Albeed Group,company,,Abu Dhabi-based family office,,albeedgroup.com,albeedgroup.com,,,"Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates",All Asian Family Offices,,1,1
353b716a-c4d6-4444-8c5c-0dd05bff5211,Alchemie Ventures,company,,Alchemie Ventures is the family office arm of Mr. Chandrakant Gogri.,,,,,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",All Asian Family Offices,,1,1
79948231-3a2a-45ca-b80c-5aec5ebac5c2,Aldebaran Capital,company,,Aldebaran Capital is an investment firm.,,https://aldebarancapital.asia/,https://aldebarancapital.asia/,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,,1,1
bc493161-e717-4952-ad19-041a970d100c,Al Falaj Investment Company,company,,Al Falaj Investment Company operates as a private family office.,,alfalajinv.com,alfalajinv.com,,,"Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates",All Asian Family Offices,1,10,10
dfefe394-34b1-4743-b113-8b5e20cdf081,Allegoria Capital,company,info@allegoriacapital.com,"Allegoria Capital is a consulting firm that provides management consultancy, corporate valuation, advisory, and private placement services.",info@allegoriacapital.com,allegoriacapital.com,allegoriacapital.com,,,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",All Asian Family Offices,,1,1
bbbaae24-f90f-46a2-b4b2-c024e00e9f74,All Properties,company,info@alnoororchards.com,"Al Noor Orchard area is the most essential area on the guide, 3 km from Faizpur Trade, inverse Al-Raziq Garden.",info@alnoororchards.com,https://alnoororchards.com/,https://alnoororchards.com/,,,"Lahore, Punjab, Pakistan","Lahore, Punjab, Pakistan",All Asian Family Offices,,,
05464519-e897-47f3-9371-b149b0ff86fa,AL Maktoum Family,company,,AL Maktoum Family is an family investments office.,,https://www.maktoum.ae,https://www.maktoum.ae,,,"Dubai, Dubai, United Arab Emirates","Dubai, Dubai, United Arab Emirates",All Asian Family Offices,1,2,1
77050c48-7d70-4cef-8324-8ac6ba476a66,Almoayed Ventures,company,ventures@ag.bh,Almoayed Ventures is the venture investment arm of Almoayed General based in Bahrain.,ventures@ag.bh,http://www.almoayed.bh,http://www.almoayed.bh,,,"Manama, Al Manamah, Bahrain","Manama, Al Manamah, Bahrain",All Asian Family Offices,,22,22
8985fd3f-1e04-4d30-9630-e19c58280ba6,Alriyadah Investments,company,info@alriyadah-investments.com,Alriyadah Investments is a family-owned closed real estate and energy development fund.,info@alriyadah-investments.com,https://www.alriyadah-investments.com/,https://www.alriyadah-investments.com/,,,"Jeddah, Makkah, Saudi Arabia","Jeddah, Makkah, Saudi Arabia",All Asian Family Offices,,1,1
475939a6-6a56-4b75-92fd-0641dff0fb48,Al-Romaizan Family Office,company,,Al-Romaizan Family Office is a family investment office.,,,,,,"Riyadh, Ar Riyad, Saudi Arabia","Riyadh, Ar Riyad, Saudi Arabia",All Asian Family Offices,,1,1
286f0e9f-ccfc-4365-aa06-deb896455744,Al Serkal Group,company,,Leading family-office in the UAE with over 60 years of history,,alserkal.group,alserkal.group,,,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",All Asian Family Offices,,1,1
0e688c79-2345-41ec-9f30-a19d6b2b4188,Alto Partners Multi-Family Office,company,info@alto-partners.com,A Multi-Family Office investment partnership in Asia comprising prominent entrepreneurs and next-generation wealth,info@alto-partners.com,http://www.alto-partners.com,http://www.alto-partners.com,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,6,62,57
74157ef7-34f4-401a-9bff-5b5a19d0b8e1,Altoukhi Family Office,company,,Altoukhi Family Office operates as a family investment office.,,,,,,"Riyadh, Ar Riyad, Saudi Arabia","Riyadh, Ar Riyad, Saudi Arabia",All Asian Family Offices,,1,1
fe555375-2652-4768-872d-1005fdabd2eb,AlTouq Group,company,admin@altouq.com,AlTouq Group is an investment vehicle for the AlTouq family.,admin@altouq.com,http://www.altouq.com,http://www.altouq.com,,,"Riyadh, Ar Riyad, Saudi Arabia","Riyadh, Ar Riyad, Saudi Arabia",All Asian Family Offices,1,3,2
49404304-f617-44d5-944f-c2f913a46818,AM Capital,company,am@amcapital.pro,"AM Capital is a Fintech service that provides access to investment products such as venture capital deals, and real estate.",am@amcapital.pro,https://app.amcapital.pro,https://app.amcapital.pro,,,"Dubai, Dubai, United Arab Emirates","Dubai, Dubai, United Arab Emirates",All Asian Family Offices,,,
7495b0c5-3cf1-4c4d-82e0-64158ca89e93,AMKM Investments,company,info@amkm.ae,AMKM Investments is a single-family office that makes direct investments and funds its projects.,info@amkm.ae,amdar.me,amdar.me,,,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",All Asian Family Offices,,,
dda9d4e3-ea5c-410e-b4bb-ee00c45b3d1b,Annex Investments,company,info@annexinvestments.com,Annex Investments is a leading Hybrid Venture SFO Founded by Ahmed Nasser Al Nowais,info@annexinvestments.com,The domain name of Anshu Vij is anshuvij.com,The domain name of Anshu Vij is anshuvij.com,,,"Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates",All Asian Family Offices,,8,8
ebc07d6e-f5d6-440c-be17-8268bc5e16bf,Apar Investments,company,,"Capital Markets, Real Estate, Wealth Management",,,,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,,1,1
1d3dcd8c-f6e8-4756-b44b-24001fc8306e,AP Investment,company,info@apinvestmentco.com,AP Investment is a Hong Kong-based investment company,info@apinvestmentco.com,https://www.apinvestmentco.com/,https://www.apinvestmentco.com/,,,"Hong Kong, Hong Kong Island, Hong Kong","Hong Kong, Hong Kong Island, Hong Kong",All Asian Family Offices,1,4,3
0d5ebaae-9266-459f-8701-1eb2646b4b1f,Arete Capital Asia Limited,company,contact@arete-asia.com,Arete Capital Asia is a Multi-Family Office and a Boutique Financial Advisory Company.,contact@arete-asia.com,http://arete-asia.com,http://arete-asia.com,,,"Hong Kong, Hong Kong Island, Hong Kong","Hong Kong, Hong Kong Island, Hong Kong",All Asian Family Offices,,1,1
c9183c03-ff35-4e4a-a3c5-c8ecb78107f4,Arkblu Capital,company,hi@arkblucap.com,Private investment group managing a global business and investment portfolio to uncover the best market opportunities,hi@arkblucap.com,http://www.arkblucap.com,http://www.arkblucap.com,,,"Jakarta, Jakarta Raya, Indonesia","Jakarta, Jakarta Raya, Indonesia",All Asian Family Offices,,6,5
cd0b26fd-e85c-47ab-ab6b-4a11db97abbb,Arora Family Holdings,company,,Single Family Office - Holding Company,,https://www.linkedin.com/company/arorasfo/,https://www.linkedin.com/company/arorasfo/,,,"Delhi, Delhi, India","Delhi, Delhi, India",All Asian Family Offices,1,1,1
0d1f960e-6494-40cb-af76-be57b909c80f,Arrow Capital,company,,Arrow Capital is a financial and investment advisory firm that provides investment management and asset management services.,,arrow-capital.com,arrow-capital.com,,,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",All Asian Family Offices,,1,1
137508c3-2bee-4269-a62e-7cd57e020173,Atinum Partners,company,,"Atinum Partners is a venture capital firm that invests in the growth stage startups in the IT, biotech, and healthcare sectors.",,http://www.atinuminvest.co.kr/,http://www.atinuminvest.co.kr/,,,"Seoul, Seoul-t'ukpyolsi, South Korea","Seoul, Seoul-t'ukpyolsi, South Korea",All Asian Family Offices,5,149,101
24d8461e-ad06-4da3-bdbf-591226b1b1a9,Atlas Global Kapital,company,,Atlas Global Kapital is an investment firm.,,,,,,"Jakarta, Jakarta Raya, Indonesia","Jakarta, Jakarta Raya, Indonesia",All Asian Family Offices,,1,1
ef1062b9-4d62-4077-8d51-63ac2c34c7fe,August One,company,operations@august.one,August One is a private investment firm and a MAS regulated Venture Capital,operations@august.one,http://www.august.one,http://www.august.one,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,3,16,14
571d0978-a089-4c22-82bb-abe6a6650cfd,Aument Capital Partners,company,,Aument Capital Partners is a multi-family office that provides a full suite of family office services.,,https://www.aument-capital.com,https://www.aument-capital.com,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,,2,2
9921c428-7311-4bd7-8b1f-3c7eeb9da957,Aura Group,company,info@aura.co,"Aura Group is a financial services business providing tailored wealth, funds management and corporate advisory solutions to clients.",info@aura.co,http://www.aura.co,http://www.aura.co,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,,6,5
972d7b3f-0361-4170-a773-2a443ccb4e1c,AVA Angels,company,ava@angeltoventure.com,AVA Angels is an angel network that focuses in connecting startups with the angel and venture stages.,ava@angeltoventure.com,https://www.angeltoventure.com/,https://www.angeltoventure.com/,,,"Taipei, T'ai-pei, Taiwan","Taipei, T'ai-pei, Taiwan",All Asian Family Offices,,20,17
b4983888-e1b5-4b77-b89f-483a2c5f9a43,Avenue Partners,company,info@avenue-partners.co,Avenue Partners is an Asia based family office that specializes in alternative investments.,info@avenue-partners.co,https://www.avenue-partners.co/,https://www.avenue-partners.co/,,,"Hong Kong, Hong Kong Island, Hong Kong","Hong Kong, Hong Kong Island, Hong Kong",All Asian Family Offices,,,
d92e17eb-54d5-4430-b179-3d492ba1e628,Aviondor Group,company,,Global Alternative Asset Manager,,https://www.aviondor.com,https://www.aviondor.com,,,"Tokyo, Tokyo, Japan","Tokyo, Tokyo, Japan",All Asian Family Offices,,1,1
6425eca6-18ab-4c3f-ac4f-fe2fb325cdf1,AWJ Holding Company,company,,AWJ Holding Company is a family investment company specializing in real estate and investment.,,https://awjholding.com/,https://awjholding.com/,,,"Riyadh, Ar Riyad, Saudi Arabia","Riyadh, Ar Riyad, Saudi Arabia",All Asian Family Offices,,,
5fa18b8d-311a-4198-b229-e8f6ccd36a6c,AzurX,company,space@azurx.com,Space & Strategic Technologies,space@azurx.com,https://www.azurx.com/,https://www.azurx.com/,,,"Dubai, Dubai, United Arab Emirates","Dubai, Dubai, United Arab Emirates","Corporate Venture Arms,All Asian Family Offices",,1,1
2211a222-17a1-4f20-b460-056e99eada88,Baksh Capital,company,,Baksh Capital is a family office incorporated to facilitate and consolidate the investments for the family in the region.,,http://baksh.sg/,http://baksh.sg/,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,,6,6
67127089-f1a4-49db-b959-9cf934841790,Banvest,company,ailan@jisrpartners.com,"Banvest, previously JISR Venture Partners, is an investment company that focuses on early and growth stage investments around the globe.",ailan@jisrpartners.com,banvest.com,banvest.com,,,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",All Asian Family Offices,,7,7
178abf4e-7d2c-4efc-b8ff-3b11fc42227c,BF Belmont,company,,BF Belmont is a family investment office,,https://www.bfbelmont.com/,https://www.bfbelmont.com/,,,"Hong Kong, Hong Kong Island, Hong Kong","Hong Kong, Hong Kong Island, Hong Kong",All Asian Family Offices,,1,1
efe6c2cb-d0b9-4f6c-9450-45ec31a08830,Bhatia Ventures,company,vireshbhatia@gmaill.com,Bhatia Ventures is an advisory capital firm focused on technical software investments.,vireshbhatia@gmaill.com,http://www.bhatiaventures.com,http://www.bhatiaventures.com,,,"Chennai, Tamil Nadu, India","Chennai, Tamil Nadu, India",All Asian Family Offices,,,
5f9b272e-38eb-4c7b-9fe8-b8d7d9365dd3,Black Kite Capital,company,,Black Kite Capital is a single-family investment office based in Singapore.,,https://blackkitecapital.com,https://blackkitecapital.com,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,,9,8
d5777194-a320-45cd-a233-962372adc24a,Blauwpark Partners,company,,"Blauwpark Partners is a single-family office for multiple families', with a focus on private equity, impact investment.",,https://www.blauwparkpartners.com/,https://www.blauwparkpartners.com/,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,,4,3
36ce0be1-ab80-4fdb-b1b0-588acb3e6a7e,Blue7,company,,Blue7 is a Singapore based impact investor.,,https://www.blue7.sg/,https://www.blue7.sg/,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,,7,6
1de0c90b-331e-4ed5-8a5c-2263c9fce8b6,Brama One Ventures,company,,Brama One Ventures (BOV) is a family office investing across a variety of industries from Seed Stage and beyond.,,https://www.brama-one.com/,https://www.brama-one.com/,,,"Surabaya, Jawa Timur, Indonesia","Surabaya, Jawa Timur, Indonesia",All Asian Family Offices,,4,3
ff9c617f-d014-4699-9879-2e5a21d06b97,Bridge Capital Holding,company,hello@bch.co,"Bridge Capital Holding is a family office investing in real estate, private equity and investment funds.",hello@bch.co,https://bch.co,https://bch.co,,,"Beirut, Beyrouth, Lebanon","Beirut, Beyrouth, Lebanon",All Asian Family Offices,,,
17059961-7ccc-45d2-9a66-c8da1e48e96c,Bright Success Capital,company,info@bright-success.com,Bright Success Capital is a family office fund based in Hong Kong that makes venture capital investments and provides strategic value,info@bright-success.com,https://www.bright-success.com/,https://www.bright-success.com/,,,"Admiralty, Hong Kong Island, Hong Kong","Admiralty, Hong Kong Island, Hong Kong",All Asian Family Offices,1,11,8
e3aefa1f-ae2f-4ed3-8118-7c2ce25f0c91,Buckscapital,company,mohandas@buckscapital.com,"First crowdfunding website helps, connect investors to business, entrepreneurs to find investments for ideas in Middle East, U A E, India",mohandas@buckscapital.com,buckscapital.com,buckscapital.com,,,"Sharjah, United Arab Emirates","Sharjah, United Arab Emirates",All Asian Family Offices,,,
509be914-21de-417f-8e61-0c964657c811,Bunny Capital,company,hello@bunny.capital,Bunny Capital is a digital asset focused investment firm.,hello@bunny.capital,https://bunny.capital,https://bunny.capital,,,"Hong Kong, Hong Kong Island, Hong Kong","Hong Kong, Hong Kong Island, Hong Kong",All Asian Family Offices,,,
3e984f5f-18df-4e26-92d0-f03bc33da013,Burman Family Holdings,company,,Burman Family Holdings is a strategic investment platform.,,burmanfh.com,burmanfh.com,,,"New Delhi, Delhi, India","New Delhi, Delhi, India",All Asian Family Offices,,4,4
85e2218a-da96-4a86-8646-46d868798ec4,BVC Ventures,company,info@bvcventures.com,"BVC Ventures is a family angel fund and entity of BVC Group, which is into logistics, security and tourism.",info@bvcventures.com,http://www.bvcventures.com/,http://www.bvcventures.com/,,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",All Asian Family Offices,1,6,6
21c09ff4-2d8e-4ccc-b249-61ab0589145b,Cachet Group,company,info@cachetam.com,Cachet is an asset management firm.,info@cachetam.com,https://www.cachet-group.com/,https://www.cachet-group.com/,,,"Central, Hong Kong Island, Hong Kong","Central, Hong Kong Island, Hong Kong",All Asian Family Offices,1,4,4
eb61f3d8-3f15-468a-a078-570065cbecf2,Camtech Diagnostics,company,mhk@camtech.com.sg,"Camtech Diagnostics develops, manufactures and commercialises rapid point of care testing for self testing, point of care and food safety",mhk@camtech.com.sg,http://www.Camtechdiagnostics.com,http://www.Camtechdiagnostics.com,,,"Bukit Merah, Central Region, Singapore","Bukit Merah, Central Region, Singapore",All Asian Family Offices,,1,1
685c7a83-e93b-4f18-8375-6fb7f1a4a9dc,CapB,company,info@capb.me,"A multifaceted, multipurpose and multinational investment office",info@capb.me,https://capb.me,https://capb.me,,,"Beirut, Beyrouth, Lebanon","Beirut, Beyrouth, Lebanon",All Asian Family Offices,,,
179d6e2c-1849-4145-a470-a3612cf45ace,Capikris Foundation,company,capikrisfoundation@gmail.com,"Experienced Investor in seed, pre-series A, series A and follow on stages; global, scalable and relevant technologies",capikrisfoundation@gmail.com,https://www.linkedin.com/in/capikris-foundation-b31628165/?original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F&originalSubdomain=sg,https://www.linkedin.com/in/capikris-foundation-b31628165/?original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F&originalSubdomain=sg,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,4,11,11
f8be2cd0-c83d-4c7a-9559-118d40255b58,Capital Union Investments,company,,"Capital Union Investments is a leader in private investment for early stage, growth, mezzanine, and pre-IPO capital.",,www.linkedin.com/company/capital-union-investments,www.linkedin.com/company/capital-union-investments,,,"Hong Kong, Hong Kong Island, Hong Kong","Hong Kong, Hong Kong Island, Hong Kong",All Asian Family Offices,2,11,9
a958aeae-d933-4f24-a685-244a6540a4ba,Celeres Investments,company,enquiries@celeresinvestments.com,"Celeres' VC arm consists of start-ups across a variety of sectors AI, Cybersecurity, Digital Health, FinTech, F&B and Logistics.",enquiries@celeresinvestments.com,http://www.celeresinvestments.com,http://www.celeresinvestments.com,,,"Hong Kong, Hong Kong Island, Hong Kong","Hong Kong, Hong Kong Island, Hong Kong",All Asian Family Offices,3,16,11
e6aac383-38c2-460a-8d47-8e83c7c7bbb0,Centaurus Capital LP,company,,Centaurus Capital LP is a family office investment fund with a specific focus on the energy industry.,,,,,,"Hong Kong, Hong Kong Island, Hong Kong","Hong Kong, Hong Kong Island, Hong Kong",All Asian Family Offices,,1,1
0b038f5b-79ca-4bfd-a073-315314bdaca1,Chandurkar Family Office,company,,Chandurkar Family Office is an family investment office.,,,,,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",All Asian Family Offices,,,
7e3fd599-dad7-407f-8178-96d93815225b,Chhatisgarh Investments,company,,"Chhattisgarh Investments invests in real estate, investments, socio-forestry, and horticulture.",,https://cginvest.co.in,https://cginvest.co.in,,,"Raipur, Chhattisgarh, India","Raipur, Chhattisgarh, India",All Asian Family Offices,1,3,3
3736b459-a59d-4a93-bd69-c5835750ddab,China Asset Management,company,service@chinaamc.com,China Asset Management is a fund management company in China that focuses on mutual funds assets under management.,service@chinaamc.com,http://www.chinaamc.com.hk,http://www.chinaamc.com.hk,,,"Beijing, Beijing, China","Beijing, Beijing, China",All Asian Family Offices,15,17,17
8494653a-3f50-43b0-b18e-a0aeafffd23e,China Poly Group,company,dr.lingye@chinapolygrpup.ltd,China Poly Group Corporation Ltd is a large scale central state-owned enterprise under the management an of the family run SASAC.,dr.lingye@chinapolygrpup.ltd,http://www.poly.com.cn,http://www.poly.com.cn,,,"Beijing, Beijing, China","Beijing, Beijing, China",All Asian Family Offices,,2,2
3a954a78-546b-4b6e-aab6-4f4f6e7829bf,Chris Archer,company,contact@systema.vc,Chris Archer Personal Portfolio,contact@systema.vc,archer22.com,archer22.com,,,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",All Asian Family Offices,4,38,34
4196a291-75e3-4305-9cff-e1b5da0da9da,Clearmind Capital Limited,company,info@clearmindcapital.co,Clearmind Capital is a investment office specialised in private equity and venture capital in Hong Kong.,info@clearmindcapital.co,https://www.clearmindcapital.co/,https://www.clearmindcapital.co/,,,"Central, Hong Kong Island, Hong Kong","Central, Hong Kong Island, Hong Kong",All Asian Family Offices,,2,1
eb594d7f-6dc6-44f6-a43f-6b058debfd9f,Clements Group Holdings,company,info@clementsgroupholdings.com,Clements Group Holdings is a private owned investment holding company based in Hong Kong.,info@clementsgroupholdings.com,https://clementsgroupholdings.com/,https://clementsgroupholdings.com/,,,"Shanghai, Shanghai, China","Shanghai, Shanghai, China",All Asian Family Offices,,1,1
c3756bdd-fb4a-4b64-b8c7-1ea0920c4ca2,Credence Family Office,company,,"Credence Family Office is a provider of advisory services including wealth management, insurance and risk management, and legal services.",,http://credencefamilyoffice.com/,http://credencefamilyoffice.com/,,,"Bengaluru, Karnataka, India","Bengaluru, Karnataka, India",All Asian Family Offices,1,4,4
5194a462-2813-4bf2-a980-09434db17629,Crystal Century Investment,company,info@crystalcenturyinvestment.com,Alternative investment management,info@crystalcenturyinvestment.com,https://www.crystalcenturyinvestment.com,https://www.crystalcenturyinvestment.com,,,"North Point, Hong Kong Island, Hong Kong","North Point, Hong Kong Island, Hong Kong",All Asian Family Offices,,,
6bf1aed1-6393-46f5-99e8-8eb4f43d2e12,Daher Capital,company,contact@dahercapital.com,Daher Capital is a family office that invests in public and private equity markets globally.,contact@dahercapital.com,dahercapital.com,dahercapital.com,,,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",All Asian Family Offices,14,51,34
e936baeb-7344-4651-bfdb-b8f25e657217,Damingo Ventures,company,michel@damingo.ai,"Venture building, Investments, consultancy, advisory",michel@damingo.ai,,,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,2,3,3
9fcbca48-d397-4ca4-a710-d5a5b563bd50,Darahim Investment,company,mansoor.alnajar@darahiminvestment.ae,"Wealth management, Private Equity, Venture Capital, Venture Debt, Real Estate Agency, Forex Accounts Manager, Low Carbon Energy Projects",mansoor.alnajar@darahiminvestment.ae,darahim.com,darahim.com,,,"Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates","Corporate Venture Arms,All Asian Family Offices",2,7,7
91225294-21bd-41c0-a806-8f9103c865e1,DAS Capital,company,,"Das Capital is an investment bank providing private placement, M&A, and strategic consulting services in the Chinese healthcare industry.",,https://dascapital.cn/about/?lang=en,https://dascapital.cn/about/?lang=en,,,"Shanghai, Shanghai, China","Shanghai, Shanghai, China",All Asian Family Offices,,1,1
e795d1ec-8b7f-4971-af18-a68f4cffb3c2,De Capital,company,,De Capital operates as a VC/PE and hedge fund.,,https://de-capital.co.jp/,https://de-capital.co.jp/,,,"Tokyo, Tokyo, Japan","Tokyo, Tokyo, Japan",All Asian Family Offices,,2,2
413d2243-a9b4-4a6a-899b-fa5747ce6d7f,DeepSky Capital,company,,DeepSky Capital is a family investment vehicle and private capital markets investor and advisor.,,http://www.deepskycapital.com,http://www.deepskycapital.com,,,"Hong Kong, Hong Kong Island, Hong Kong","Hong Kong, Hong Kong Island, Hong Kong",All Asian Family Offices,,1,1
de554085-be34-4215-98fa-cbd718575910,Dekko Isho Technologies Ltd. (DITECH),company,,"Sector Agnostic Early stage to Pre-series A Investor, Bangladesh Focused",,https://ditech.co/,https://ditech.co/,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore","Corporate Venture Arms,All Asian Family Offices",,1,1
3ef9c0f9-01c5-455d-93cf-dd898ec5b631,Desai Ventures,company,,Desai Ventures is a family office that supports founders and makes investments.,,https://www.desaiventures.io,https://www.desaiventures.io,,,"Ahmedabad, Gujarat, India","Ahmedabad, Gujarat, India",All Asian Family Offices,,2,2
3bc82af0-5f6a-484a-a08d-330e101a2ae4,DH Venture Holdings,company,,Investing in Sustainable Businesses for a better tomorrow,,https://www.linkedin.com/company/dh-venture-holdings,https://www.linkedin.com/company/dh-venture-holdings,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,4,14,14
dab545de-06da-4e4d-81aa-ef6c752ff215,Dinesh Hinduja Family Office,company,,Dinesh Hinduja Family Office is a family investment firm.,,,,,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",All Asian Family Offices,,1,1
